Label,Text,Gendered Terms,Source
Psychology - STEM,"Clive Wearing is an accomplished musician who lost his ability to form new memories when he became sick at the age of 46. While he can remember how to play the piano perfectly, he cannot remember what he ate for breakfast just an hour ago. James Wannerton experiences a taste sensation that is associated with the sound of words. His former girlfriend's name tastes like rhubarb. John Nash is a brilliant mathematician and Nobel Prize winner. However, while he was a professor at MIT, he would tell people that the New York Times contained coded messages from extraterrestrial beings that were intended for him. He also began to hear voices and became suspicious of the people around him. Soon thereafter, Nash was diagnosed with schizophrenia and admitted to a state-run mental institution. Nash was the subject of the 2001 movie ""A Beautiful Mind.""",12,https://opentextbc.ca/h5ppsychology/part/introduction-to-psychology/
Physics - STEM,"Galileo was instrumental in establishing observation as the absolute determinant of truth, rather than ""logical"" argument. Galileo's use of the telescope was his most notable achievement in demonstrating the importance of observation. He discovered moons orbiting Jupiter and made other observations that were inconsistent with certain ancient ideas and religious dogma. For this, and because of how he dealt with authorities, Galileo was tried by the Inquisition and punished. He spent the final years of his life under a form of house arrest. Because others before Galileo had also made discoveries by observing nature, and because repeated observations verified his findings, his work could not be suppressed. After his death, his work was verified by others, and his ideas were eventually accepted by the church and the scientific community.",5,https://openstax.org/books/college-physics-2e/pages/4-introduction-to-dynamics-newtons-laws-of-motion
Biology - STEM,"Johann Gregor Mendel (1822-1884) was a lifelong learner, teacher, scientist, and man of faith. As a young adult, he joined an Augustinian monastery in what is now the Czech Republic. Supported by the abbey, he taught physics, botany, and natural science at the secondary and university levels. In 1856, he began a decade-long research project on inheritance patterns in honeybees and plants, ultimately focusing on pea plants as his primary model system. In 1865, Mendel presented the results of his experiments with nearly 30,000 pea plants to the local Natural History Society. He demonstrated that traits are transmitted from parents to offspring independently of other traits and in dominant and recessive patterns. In 1866, he published his work ""Experiments in Plant Hybridization"" in the proceedings of the Natural History Society of Brünn.",9,https://openstax.org/books/biology-2e/pages/12-1-mendels-experiments-and-the-laws-of-probability
Chemistry STEM,"Dmitri Mendeleev in Russia (1869) and Lothar Meyer in Germany (1870) independently recognized a periodic relationship among the properties of the known elements. Both published tables arranging the elements by increasing atomic mass. But Mendeleev went a step further than Meyer: he used his table to predict the existence of elements that would have properties similar to aluminum and silicon, but were not yet known. The later discoveries of gallium (1875) and germanium (1886) provided strong support for Mendeleev's predictions. Although Mendeleev and Meyer long disputed over priority, Mendeleev's contributions to developing the periodic table are now more widely recognized.",2,https://openstax.org/books/chemistry-2e/pages/2-5-the-periodic-table
Psychology STEM,"B. F. Skinner, a leading behaviorist, believed that behavior is motivated by the consequences we receive for it-reinforcements and punishments. His idea was that learning is the result of reinforcement: actions followed by positive outcomes are strengthened, while those followed by negative outcomes are weakened. In Skinner's view, the environment alone shapes observable behavior; internal thoughts or motivations were not necessary to understand behavior. He demonstrated this with inventions like the ""Skinner box,"" where an animal (such as a pigeon or rat) learns to perform a behavior (e.g. press a lever) to obtain a reward. By carefully controlling outcomes, he was able to show how an organism's behavior could be conditioned through reinforcement.",4,https://openstax.org/books/psychology-2e/pages/6-3-operant-conditioning
History Humanities,"In eighteenth-century America (as in Great Britain), the legal status of married women was defined by coverture, meaning a married woman (a feme covert) had no independent legal or economic status apart from her husband. She could not conduct business or buy and sell property on her own. Her husband controlled any property she brought into the marriage, although he could not sell it without her agreement. Married women's status did not change after the American Revolution-wives remained economically dependent on their husbands. The women of the newly independent nation did not demand the right to vote, but some, especially the wives of elite statesmen, began to agitate for equality under the law between husbands and wives, and for the same educational opportunities as men.",7,https://openstax.org/books/us-history/pages/7-2-how-much-revolutionary-change
History - Humanities,"Murray's more radical ideas championed woman's economic independence. She argued that a woman's education should be extensive enough to allow her to maintain herself- and her family-if there was no male breadwinner. Indeed, Murray was able to make money of her own from her publications. Her ideas were both radical and traditional, however: Murray also believed that women were much better at raising children and maintaining the morality and virtue of the family than men.",9,https://openstax.org/books/us-history/pages/7-2-how-much-revolutionary-change
History - Humanities,"During Thomas Jefferson's presidency, the United States sought to explore its vast new Louisiana Territory. Jefferson appointed Meriwether Lewis, a young Army captain, to lead an expedition, and Lewis in turn chose William Clark as co-leader. In 1804, Lewis and Clark's ""Corps of Discovery"" set out to map the territory and document its resources. As they traveled up the Missouri River, they faced harsh storms, swarms of gnats and mosquitoes, and encounters with unfamiliar wildlife (elk, buffalo, grizzly bears). Along the way they also encountered various Native American nations. The corps set about making friends with Native tribes while simultaneously asserting American power. Lewis would sometimes awe the locals by firing his air rifle a relatively new technology as a demonstration. The explorers followed Native customs by distributing gifts (shirts, ribbons, kettles) as goodwill offerings. They presented native leaders with medallions bearing Jefferson's image and invited them to visit their new ""Great Father"" in the East. These ""peace medals"" would help future explorers identify friendly groups. Not all encounters were peaceful; some Native warriors rejected the Americans' intrusion. On one occasion Lewis inadvertently caused tension with the Blackfeet, and a skirmish led members of the corps to kill two Blackfeet men.",2,https://openstax.org/books/us-history/pages/11-1-lewis-and-clark
History - Humanities,"In 1533, England's King Henry VIII broke from the Catholic Church so he could divorce and remarry, hoping for a male heir. His second wife, Anne Boleyn, also failed to produce a male heir, and when she was accused of adultery, Henry had her executed. His third wife, Jane Seymour, at long last delivered a son, Edward, who ruled only a short time before dying in 1553 at age fifteen. Mary, the daughter of Henry VIII and his first wife Catherine, then came to the throne, determined to restore Catholicism. She earned the nickname ""Bloody Mary"" for the many Protestants (often burned alive) she ordered executed during her reign.",9,https://courses.lumenlearning.com/suny-hccc-ushistory1os2xmaster/chapter/religious-upheavals-in-the-developing-atlantic-world/
History Humanities,"Harriet Tubman was a legendary figure in her own time and beyond. An escaped enslaved person herself, she returned to the South thirteen times to lead over 70 enslaved people including her family and friends to freedom along the Underground Railroad. Tubman distinguished herself for her tireless efforts helping other enslaved men and women escape. Born enslaved in Maryland around 1822, Tubman suffered greatly under slavery but found solace in Christianity; she finally made her own escape in the late 1840s. She would become the most famous ""conductor"" on the Underground Railroad.",7,https://openstax.org/books/us-history/pages/14-1-the-compromise-of-1850
